id,name,description,icons,image_caption,organization,primary_contact,referral,street_address_1,street_address_2,city,state,zip,county,website,email,phone,latitude,longitude,Assessment and Diagnosis,Treatment and Therapies ,Treatment and Therapies ,Treatment and Therapies ,Physical and Mental Health ,Education and Technology ,Adulthood and Transition,Family Supports and Parent Training,Financial Assistance and Advocacy,National ,Pre-K (0 - 5 years),School age (6 - 13 years),Transition age (14 - 22 years),Adulthood (23 - 64),Aging (65+)
211,Pathways Developmental Pediatrics,"Pathways Developmental Pediatrics provide flexible and comprehensive services to children, birth to 21 years of age. They are a family-centered developmental and behavioral clinic in Charlottesville for children often seen because of concerns about their development, social skills, learning, mood, and behavior. They also provide medication management and parent education.",,,,"Evelyn Frazier, MD",CRAAG,675 Peter Jefferson Pkwy. Ste 130,,Charlottesville ,VA,22911,,https://www.pathwayscville.com,,(434) 218-0862,38.0236661,-78.4376251,Assessment and Diagnosis,    Medication,    Social Skills Training,,Physical and Mental Health ,     Support Plans,,,,         Charlottesville ,Pre-K (0 - 5 years),School age (6 - 13 years),Transition age (14 - 22 years),,
212,UVA Child Development and Rehabilitation Center,"UVA Child Development and Rehabilitation Center provides evaluation and treatment for children from birth to 21 years of age who have developmental disabilities, traumatic injuries, or chronic illnesses. They offer evaluations, early interventions, school intervention programs, and support groups. ",,,,,CRAAG,"Battle Building, 1204 West Main St,",,Charlottesville ,VA,22903,,http://childrens.uvahealth.com/services/developmental-disabilities-and-delays,,(434) 924-5272,38.0328394,-78.4973033,Assessment and Diagnosis,,,,    Developmental Delays,,,      Support Groups,,         Charlottesville ,Pre-K (0 - 5 years),School age (6 - 13 years),Transition age (14 - 22 years),,
213,Autism Society of Virginia of Central Virginia,"Autism Society of Virginia of Central Virginia (ASCV) provides direct services to counties of Chesterfield, Hanover, Henrico and the city of Richmond. They also offer information and referrals, support groups, and advocate for individuals with autism as well as for their families.",,,,,CRAAG,200 South 3rd Street,,Richmond,VA,23219,,http://ascv.org/,info@ascv.org,(804) 257-0192,37.5396275,-77.44378,,,,,,,,      Support Groups,      Advocacy,         Richmond ,,,,,
214,Virginia Autism Project (VAP),"Virginia Autism Project (VAP) is a non-profit organization that educates, advises and collaborates with federal, state and local decision makers and the general public on issues that impact individuals with autism and their communities, while raising awareness in Virginia.",,,,,CRAAG,,,,VA,,,www.virginiaautismproject.com/,vapnova@gmail.com,,,,,,,,,,,,      Advocacy,,,,,,
215,Virginia Autism Council at VCU,Virginia Autism Council at VCU provides parent training and materials about autism to advance skills and knowledge of professionals and family members. They work to advance education and also offer support groups. ,,,,,CRAAG,"700 E. Franklin Street | 1st Floor, Suite 140",,Richmond,VA,23284,,www.autismtrainingva.org,aidifkm@vcu.edu,(804) 827-0108,37.5400864,-77.4366154,,,,,,Education and Technology ,,Family Supports and Parent Training,      Advocacy,         Richmond ,,,,,
216,Virginia Autism Center for Excellence at VCU,"Virginia Autism Center for Excellence at VCU (VAC) uses integrative research, outreach and collaborative initiatives to promote and facilitate best practices for those diagnosed within the autism spectrum. They offer resources, information, education, and training for individuals with autism and their families.",,,,,CRAAG,1314 West Main Street Box 842011,,Richmond,VA,23284-2011,,https://vcuautismcenter.org/about/projects/varc.cfm,autismcenter@vcu.edu,(855) 711-6987,37.546483,-77.457561,,,,,,,,      Support Groups,      Advocacy,         Richmond ,,,,,
217,Good Neighbor,"Good Neighbor provides in-home counseling, psychiatry and therapy, and residential and day supports with community engagements. Their services vary from Richmond, Charlottesville, Arlington, Petersburg, Colonial Heights, and Fredericksburg, Va.",,,,,CRAAG,,,,VA,,,https://www.goodneighbor.care/,,(855) 355-7001,,,,    Counseling,,,Physical and Mental Health ,,             Residential Program,,      Advocacy,    Virginia,,,,,
218,The Choice Group,"The Choice Group offers individualized training and assistance in: meal prep, laundry, housekeeping, medications, personal safety, money management, socializing, and travel. They also provide PEERS curriculum training for young adults with ASD and other services such as ABA, skills training, counseling, and community engagement.",,,,,CRAAG,4807 Radford Ave #106,,Richmond,VA,,,http://thechoicegroup.com/community-support.html,info@thechoicegroup.com,(804) 278-9151,37.5796234,-77.4939124,,    Applied Behavior Analysis,    Social Skills Training,    Counseling,     Wellness,,,,      Advocacy,         Richmond ,,,,,
219,Alvin V. Baird Attention and Learning Disabilities Center,The Alvin V. Baird Attention and Learning Disabilities Center focuses on early interventions for children with ASD or an intellectual disability as well as educating those involved in the individual's life.,,,,,,775 MLK Jr. Way,,Harrisonburg,VA,22801,,https://bairdcenter.cisat.jmu.edu,bairdcenter@jmu.edu.,(540) 568-7931,38.4405974,-78.8578115,Assessment and Diagnosis,    Applied Behavior Analysis,    Early Intervention,,    Developmental Delays,,,,,         Harrisonburg ,,,,,
220,Alvin V. Baird Attention and Learning Disabilities Center - Inter-Professional Autism Clinic,"The Inter-Professional Autism Clinic at JMU provides assessment and intervention for children 2-10 years old with a diagnosis of ASD or a child who is suspected to have ASD. Occupational therapy, speech therapy, and a licensed psychologist or a licensed behavior analyst work with your child to create an interdisciplinary approach. ",,,,,,131 W. Grace St,Room 1100,Harrisonburg ,VA,22807,,http://bairdcenter.cisat.jmu.edu/autism.html,bairdcenter@jmu.edu.,(540) 568-7933,38.4431285,-78.8779449,Assessment and Diagnosis,    Occupational Therapy ,    Speech and Communication,,,,,,,         Harrisonburg ,Pre-K (0 - 5 years),School age (6 - 13 years),,,
221,Alvin V. Baird Attention and Learning Disabilities Center - Parent Child Interaction Training (PCIT),"Parent Child Interaction (PCIT) Clinic trains parents how to support their child that may have a behavioral or neurodevelopmental disability; such as ASD, an intellectual disability, TBI, and ADHD. The Clinic teaches parents how to remain calm during episodes of challenging behaviors that their child may have and teach the parent how to effectively manage the problem behavior in a positive manner. ",,,,,,776 MLK Jr. Way,,Harrisonburg,VA,22801,,https://bairdcenter.cisat.jmu.edu/behavioranalysis.html,bairdcenter@jmu.edu.,(540) 568-7932,38.4406314,-78.8577641,Assessment and Diagnosis,    Applied Behavior Analysis,    Early Intervention,,    Challenging Behaviors,,,,,         Harrisonburg ,,,,,
222,Arc of Harrisonburg and Rockingham,"The Arc of Harrisonburg and Rockingham offers community engagement, day support, in-home care, and respite care.",,,,,,620 Simms Ave,,Harrisonburg,VA ,22802,,http://www.hrarc.org/,info@hrarc.org,(540) 437-9214,38.4545288,-78.8578657,,,,,    Developmental Delays,,             Adult Day Program,      Respite ,,         Harrisonburg ,Pre-K (0 - 5 years),School age (6 - 13 years),Transition age (14 - 22 years),Adulthood (23 - 64),Aging (65+)
223,Bedford County Parent Resource Center,"The Bedford County Parent Resource Center provides training, resources, and outreach that allow parents and teachers to collaborate for children's special needs in the classroom. They specifically offer training and guidance for parents through the special education process with a special focus on understanding and comprehending IEPs (Individualized Education Plan) and transition planning.",,,Bedford Community Resources Center,Lulu Bowyer,,804 East Main Street Suite 2,,Bedford,VA,24523,,https://bedford.sharpschool.net/departments/special_education_information/parent_res,lbowyer@bedford.k12.va.us,"(540) 587-8990, ext 103",37.3319698,-79.515786,,,,,,          IEP ,      Post Secondary Education ,      Parent Training ,,         Lynchburg ,Pre-K (0 - 5 years),School age (6 - 13 years),Transition age (14 - 22 years),,
224,Blue Ridge Autism and Achievement Center (BRAAC),"Blue Ridge Autism and Achievement Center offers ABA (Applied Behavior Analysis) for children with autism and other developmental disabilities. They offer a variety of programs including an intensive 1:1 program, summer program, tutoring program, preschool program, and adolescent program.",,,Blue Ridge Autism and Achievement Center,,,40 Park Place,,Lexington,VA,24450,,https://www.braacroanoke.svhservices.org,braac.bv@svhservices.org,,37.824974,-79.3848616,,    Applied Behavior Analysis,    Speech and Communication,    Occupational Therapy ,,     School,,      Parent Training ,,         Waynesboro/Staunton/Lexington ,,,,,
225,CA (Formerly Commonwealth Autism/Founders Center),"CA impacts human service systems through public-private resource pairing, leadership, and collaboration. They strive to create high quality education, healthcare & housing access, civic activities, and employment in Virginia by creating awareness, establishing change, and innovating on best practices.",,,CA Human Services,,,4108 E Parham Road,,Richmond,VA,23228,,https://cahumanservices.org/,,(804) 355-0300,37.6316841,-77.511711,,,,,,,,,      Advocacy,         Richmond ,,,,,
226,Case Management and Medicaid Waiver Screening,"Home-based services, adult foster care, adult day care, case management, nutrition, assessments for adults, living in assisted living facilities, and screenings for adults entering living facilities or those who need medicaid funding home/community waivers are all services provided at the Lynchburg Department of Human Services. ",,,,,,99 Ninth Street,,Lynchburg,VA,24505,,http://www.lynchburgva.gov/social-services,,(434) 455-5890,37.4156968,-79.1414036,Assessment and Diagnosis,,,,,,             Adult Day Program,      Respite ,,         Lynchburg ,,,Transition age (14 - 22 years),Adulthood (23 - 64),Aging (65+)
227,Compass Counseling - Staunton,"The Compass in Staunton, VA offers ABA (Applied Behavior Analysis), outpatient therapy, and psychological testing. The program focuses to improve adaptive behaviors, train and support families, and coordinate with other service providers.",,,Compass Counseling,,,2 North Central Avenue,,Staunton,VA,22401,Augusta,https://compassva.com/,erika@compassva.com,(540) 949-7045,38.1502895,-79.0737284,     Psychological Testing ,    Applied Behavior Analysis,    Counseling,,,,,,            Accepts Medicaid ,         Waynesboro/Staunton/Lexington ,Pre-K (0 - 5 years),School age (6 - 13 years),Transition age (14 - 22 years),,
228,Crossroads Counseling Center,"The Crossroads Counseling Center offers diverse individual and family counseling for children/adolescents and adults with emotional and behavioral difficulties. The services are in-home, school-based and clinic-based services including behavioral therapy, life coaching, mentoring, substance abuse counseling and other therapeutic interventions. Some programs are Medicaid funded services. ",,,,,,250 E. Elizabeth Street,Suite 102,Harrisonburg,VA,22802,,https://crossroadsvirginia.com/office-harrisonburg/,,(540) 801-0885,38.4501477,-78.8647158,,    Counseling,,,,,,,,         Harrisonburg ,,,,,
229,Grafton Integrated Health Network - Richmond,"Grafton provides a variety of different services including ABA therapy, early intervention services, outpatient treatment, and therapeutic day schools.Over a decade ago, Grafton implemented organization-initiative to minimize and eliminate the use of coercive techniques. ",,,Grafton,,,4100 Price Club Boulevard,,Midlothian,VA,23112,Chesterfield ,https://www.grafton.org/,,(804) 674-8888,37.4353847,-77.5917609,,    Applied Behavior Analysis,    Counseling,    Medication,,     School,      Adult Programs ,,,         Richmond ,Pre-K (0 - 5 years),School age (6 - 13 years),Transition age (14 - 22 years),,
230,LAUREL Regional Program,"LAUREL is a regional public education program that provides classroom instruction for students aged 2-21 with Autism and other intellectual/developmental disabilities. They offer community based instruction, video modeling, and social skill lessons within their instruction. In addition to instruction, LAUREL provides occupational, physical, speech, and visual therapy for their students.",,,Lynchburg City School,Jennifer Berkeley,,401 Monticello Avenue,,Lynchburg,VA,24501,,https://www.lcsedu.net/schools/laurel,crystal.collette@centralhealth.com,(434) 851-0955,37.4044807,-79.1797632,,    Social Skills Training,    Speech and Communication,    Occupational Therapy ,,     School,      Post Secondary Education ,,,         Lynchburg ,Pre-K (0 - 5 years),School age (6 - 13 years),Transition age (14 - 22 years),,
231,Liberty Point Behavioral Healthcare,"Liberty Point Behavioral Healthcare offers ABA (Applied Behavior Analysis) and Positive Behavioral Supports (PBS) to adolescent males with Autism, intellectual disabilities, and psychiatric conditions. They offer these programs through either a secure residential treatment or community based-residential treatment.",,,Liberty Point Behavioral Healthcare,,,1110 Montgomery Ave,,Staunton,VA,24401,Augusta,https://libertypointstaunton.com/,,(540) 213-0450,38.141004,-79.0944899,,    Applied Behavior Analysis,,,,,             Residential Program,,,         Waynesboro/Staunton/Lexington ,,,Transition age (14 - 22 years),,
232,Lutheran Family Services,"Lutheran Family Services offers educational and therapeutic services to children with emotional, intellectual, and developmental disabilities through the Minnick Schools.  Other services such as day support, respite care, and group homes are available for individuals 18 and up. They also offer situational assessments, job training, job development, and behavioral therapy.",,,Virginia Developmental Services,,,3601 Old Forest Road,,Lynchburg,VA,24501,,https://lfsva.org/,info@lfsva.org,(434) 385-0262,37.4081542,-79.2160802,,    Counseling,    Social Skills Training,,,,Adulthood and Transition,      Respite ,            Self-Advocacy ,         Lynchburg ,Pre-K (0 - 5 years),School age (6 - 13 years),Transition age (14 - 22 years),Adulthood (23 - 64),Aging (65+)
233,May Institute,"The May Institute offers ABA (Applied Behavior Analysis) for individuals with Autism and other developmental disabilities. The Institute begins working with young children offering early intervention programs and home-based services and continues to provide needs for adults such as private special education schools, habilitation, and residential services.",,,May Institute,,,"1516 Willow Lawn Drive, Suite 203",,Richmond,VA,23230,,https://www.mayinstitute.org/,,(804) 269-4732,37.5818623,-77.5002643,,    Applied Behavior Analysis,,,,,,,,         Richmond ,Pre-K (0 - 5 years),School age (6 - 13 years),Transition age (14 - 22 years),Adulthood (23 - 64),Aging (65+)
234,Minnick School - Harrisonburg,"The Minnick School in Harrisonburg, Virginia, offers social skills groups and behavioral support groups for students with autism and emotional and learning disabilities. The classrooms in the Minnick Schools have a model classroom for students with autism. A Board Certified Behavior Analyst (BCBA) provides consultation, training, intervention, and support to the student and teachers throughout the day.",,,,,,1661 Virginia Avenue,,Harrisonburg,VA,22802,,https://lfsva.org/educational-services-minnick-schools/locations-school-calendars/,tgoodwin@lfsva.org,(540) 437-1814,38.4787962,-78.8719246,,    Applied Behavior Analysis,,,,     School,,,,         Harrisonburg ,Pre-K (0 - 5 years),School age (6 - 13 years),Transition age (14 - 22 years),,
235,Rockingham County Public Schools ,Rockingham County Public School System includes special education supports. ,,,,,,100 Mt. Clinton Pike,,Harrisonburg,VA,22802,,http://www.rockingham.k12.va.us/,,(540) 564-3200,38.4666263,-78.8537468,,,,,,,,,,         Harrisonburg ,,School age (6 - 13 years),Transition age (14 - 22 years),,
236,Shenandoah Valley Autism Partnership,"Shenandoah Valley Autism Partnership works to help individuals with autism through community awareness, training, and support through all ages. Support groups, social opportunities, community outreach, and family/professional scholarships are included programs.  ",,,,,,,,Harrisonburg,VA,22801,,https://valleyautism.wordpress.com/,valleyautisminfo@gmail.com,,38.4049904,-78.8722341,,,,,,,,Family Supports and Parent Training,      Advocacy,         Harrisonburg ,Pre-K (0 - 5 years),School age (6 - 13 years),Transition age (14 - 22 years),Adulthood (23 - 64),Aging (65+)
237,St Joseph’s Villa,"St. Joseph's Villa offers support for children with ASD through the Sarah Dooley Center for Autism. The center provides education, behavioral, speech, and transitional supports.",,,St Joseph’s Villa,,,8000 Brook Road,,Richmond,VA,23227,,https://www.neverstopbelieving.org/,,(804) 553-3200,37.6318904,-77.4605621,,    Applied Behavior Analysis,    Speech and Communication,,,     School,      Employment ,      Parent Training ,,         Richmond ,,School age (6 - 13 years),Transition age (14 - 22 years),Adulthood (23 - 64),Aging (65+)
238,The Faison School,"The Faison Center, located in Richmond, Virginia, is a non-profit educational and treatment center serving individuals and families impacted by autism spectrum disorder (ASD) and other developmental disabilities. The programs in Faison school a person's entire lifespan, including day school services, clinical services, summer and adult residential and day programs. ",,,,,,1701 Byrd Ave,,Richmond,VA,23230,,https://www.faisoncenter.org/,,(804) 612-1947,37.584277,-77.5006227,,,,,,,,,,         Richmond ,Pre-K (0 - 5 years),School age (6 - 13 years),Transition age (14 - 22 years),,
239,Therapeutic Alliance of Virginia - Falls Church,"Therapeutic Alliance of Virginia is a private mental health agency located in Falls Church, Virginia, for ages 4-64 with mental, behavioral, or emotional illnesses. They offer in-home, outpatient, and mental health skills-building services.",,,,,,6400 Arlington Blvd,Suite 670,Falls Church,VA,22042,,http://www.therapeuticalliancellc.com/,director@taculture.com,(703) 992-6938,38.8727611,-77.160305,,    Counseling,,,    Mental Health ,,,,,         Roanoke/New River Valley,Pre-K (0 - 5 years),School age (6 - 13 years),Transition age (14 - 22 years),,
240,Therapeutic Alliance of Virginia - Fredericksburg,"Therapeutic Alliance of Virginia is a private mental health agency located in Fredericksburg, Virginia, for ages 4-64 with mental, behavioral, or emotional illnesses. They offer in-home, outpatient, and mental health skills-building services.",,,,,,1701 Fall Hill Ave,Suite 105,Fredericksburg,VA,22401,,http://www.therapeuticalliancellc.com/,director@taculture.com,(540) 899-5790,38.3097731,-77.4675979,,    Counseling,,,    Mental Health ,,,,,         Roanoke/New River Valley,Pre-K (0 - 5 years),School age (6 - 13 years),Transition age (14 - 22 years),,
241,Therapeutic Alliance of Virginia - Manassas,"Therapeutic Alliance of Virginia is a private mental health agency located in Manassas, Virginia, for ages 4-64 with mental, behavioral, or emotional illnesses. They offer in-home, outpatient, and mental health skills-building services.",,,,,,7771 Ashton Ave,,Manassas,VA,20109,,http://www.therapeuticalliancellc.com/,director@taculture.com,(703) 492-2686,38.78916,-77.520389,,    Counseling,,,    Mental Health ,,,,,         Roanoke/New River Valley,Pre-K (0 - 5 years),School age (6 - 13 years),Transition age (14 - 22 years),,
242,Therapeutic Alliance of Virginia - Richmond,"Therapeutic Alliance of Virginia is a private mental health agency located in Richmond, Virginia, for ages 4-64 with mental, behavioral, or emotional illnesses. They offer in-home, outpatient, and mental health skills-building services.",,,,,,1215 West Main St,Suite A,Richmond,VA,23220,,http://www.therapeuticalliancellc.com/,director@taculture.com,(804) 355-0201,37.5459158,-77.457223,,    Counseling,,,    Mental Health ,,,,,         Roanoke/New River Valley,Pre-K (0 - 5 years),School age (6 - 13 years),Transition age (14 - 22 years),,
243,Therapeutic Alliance of Virginia - Sterling,"Therapeutic Alliance of Virginia is a private mental health agency located in Sterling, Virginia, for ages 4-64 with mental, behavioral, or emotional illnesses. They offer in-home, outpatient, and mental health skills-building services.",,,,,,22375 Broderick Dr,Suite 125,Sterling,VA,20166,,http://www.therapeuticalliancellc.com/,director@taculture.com,(571) 375-0214,38.9968066,-77.4462661,,    Counseling,,,    Mental Health ,,,,,         Roanoke/New River Valley,Pre-K (0 - 5 years),School age (6 - 13 years),Transition age (14 - 22 years),,
244,United Methodist Family Services,"United Methodist Family Services offers a range of in-home services that support children and families, which include individual and family counseling, case management, crisis intervention, behavior management/parenting education, & communication skills counseling.",,,United Methodist Family Services,,,2420 Memorial Avenue,,Lynchburg,VA,24501,,https://www.umfs.org/locations/lynchburg/,lynchburg@umfs.org,(434) 846-2002,37.402828,-79.1671181,,,,,,,,,,         Lynchburg ,Pre-K (0 - 5 years),School age (6 - 13 years),Transition age (14 - 22 years),,
245,WACS Autism/Special Needs Advocacy & Support,"WACS Autism/Special Needs Advocacy & Support is a local support group for families of individuals with Autism and other special needs. The group shares resources & support for families, especially in Waynesboro, Augusta County and Staunton (WACS), Virginia, of individuals with disabilities.",,,,Teressa Joiner,,2124 Davis Rd,,Waynesboro,VA,22980,,https://www.facebook.com/WACS-AutismSpecial-Needs-Advocacy-Support-143843686052475,tdbjoin@gmail.com,(540) 649-1897,38.069676,-78.919126,,,,,,,,      Support Groups,,         Waynesboro/Staunton/Lexington ,Pre-K (0 - 5 years),School age (6 - 13 years),Transition age (14 - 22 years),Adulthood (23 - 64),Aging (65+)
